,,,,,,,,,,,,,,,,,,,,,,,,State,State - Abv,Eligible States,Not Eligible,Products,Price,Link,Allow States,BMI STATUS,STRIVE STATES,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Tirzepatide - Microdose,$634.94,https://buy.stripe.com/7sYcN4ePZ6t54EZaG50JL1x,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",GT18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nutrition Consultation - 3 Months + 2 Slim Boost,$627.01,https://buy.stripe.com/bJedR8azJdVx7Rb9C10JJ2b,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Semaglutide 1mg,$624.34,https://buy.stripe.com/8wMeVYbH711p9QQ1Ku,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) NAD + Nutrition Consultation,$607.38,https://buy.stripe.com/4gw5lo12t39xbYY9su,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Lipo-Mino + Nutrition Consultation,$607.38,https://buy.stripe.com/7sY14mdLV3gTfjD9C10JG3r,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sermorelin Two Months,$599.00,https://buy.stripe.com/cNidR8ePZdVx2wR8xX0JO2f,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tirzepatide - Microdose,$599.00,https://buy.stripe.com/8x214mePZ04HfjD9C10JL1w,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",GT18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semaglutide 1mg,$589.00,https://buy.stripe.com/14kbJMcLbdOb2oobvl,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Glutathione Four Months,$581.94,https://buy.stripe.com/14AeVc8rB8Bd0oJ15v0JO2b,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAD + Nutrition Consultation,$573.00,https://buy.stripe.com/28o6pseTjbG36EEcED,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lipo-Mino + Nutrition Consultation,$573.00,https://buy.stripe.com/3cI7sK5fpdVx4EZ7tT0JG3k,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glutathione Four Months,$549.00,https://buy.stripe.com/cNi4gy23ddVx9Zj3dD0JO2a,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Semaglutide - Microdose ,$518.34,https://buy.stripe.com/eVq8wOfU32cPgnHdSh0JL1v,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",GT18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) NAD + Slim Boost,$490.78,https://buy.stripe.com/cN2aFI3aBbG36EEeMN,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Lipo-Mino + Slim Boost,$490.78,https://buy.stripe.com/9B66oG0Z9cRt7Rb8xX0JG3q,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Semaglutide - Microdose,$489.00,https://buy.stripe.com/3cI4gyePZ4kXdbvg0p0JL1q,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",GT18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6%Fee) Nutrition Consultation - 3 Months,$475.95,https://buy.stripe.com/9B628qgY718L2wRcOd0JJ3Q,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAD + Slim Boost,$463.00,https://buy.stripe.com/fZecNQ5iJ8tR9QQbAy,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lipo-Mino + Slim Boost,$463.00,https://buy.stripe.com/28EeVcePZ6t55J329z0JG3i,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nutrition Consultation - 3 Months,$449.01,https://buy.stripe.com/00w8wO7nxaJl1sNeWl0JH23,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Glutathione Two Months,$396.44,https://buy.stripe.com/28EeVc8rB5p1dbvaG50JO27,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) GHK-Cu One Month,$396.44,https://buy.stripe.com/7sY00i9vF2cP0oJ6pP0JO28,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) NAD,$396.44,https://buy.stripe.com/6oU9ASbDN2cP2wR8xX0JI1A,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Lipo-Mino,$396.44,https://buy.stripe.com/14A14m5fp04H0oJ29z0JI1y,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Sermorelin One Month,$396.44,https://buy.stripe.com/bJe5kCcHR9FhgnHaG50JO29,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Glutathione Two Months,$374.00,https://buy.stripe.com/cNi00i6jtg3FfjD5lL0JO24,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,GHK-Cu One Month,$374.00,https://buy.stripe.com/eVqeVc5fp5p14EZ6pP0JO25,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAD,$374.00,https://buy.stripe.com/3csdRU26xeSfd327kh,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lipo-Mino,$374.00,https://buy.stripe.com/14A5kC5fp6t51sNcOd0JG3h,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sermorelin One Month,$374.00,https://buy.stripe.com/5kQcN4gY73gT8VfcOd0JO26,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IA, ME, MD, MA, MI, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT CLIENT (6% Fee) Nutrition Consultation + Slim Boost,$359.34,https://buy.stripe.com/00gg029yZ8tR2ooctP,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT CLIENT Nutrition Consultation + Slim Boost,$339.00,https://buy.stripe.com/8wM29c9yZ25t3ss3Xi,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Nutrition Consultation + Slim Boost,$305.28,https://buy.stripe.com/6oE4hk3aB5hF0ggalJ,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metmorfin,$299.00,https://dharmanutritionclinic.com/products/metformin?_pos=1&_sid=da4a7c698&_ss=r,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, WA, WI, WY",GT18,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,NAD+ Nasal,$299.00,https://dharmanutritionclinic.com/products/nad-nasal-spray?_pos=4&_sid=2169ed583&_ss=r,"AZ, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nutrition Consultation + Slim Boost,$288.00,https://buy.stripe.com/3cs7tw4eFaBZ3ss2Tg,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT CLIENT (6% Fee) Nutrition Consultation,$265.00,https://buy.stripe.com/8wM158cLb4dBd32b0P,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tadalafil,$259.00,https://dharmanutritionclinic.com/products/sildenafil-tadalafil?_pos=1&_sid=9c0c9626a&_ss=r,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,NOT CLIENT Nutrition Consultation,$250.00,https://buy.stripe.com/9AQaFIeTj4dB5AA0m9,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cashmere Cream,$229.00,https://dharmanutritionclinic.com/products/cashmere-cream,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Nutrition Consultation,$210.94,https://buy.stripe.com/7sIeVYh1r25t3ss02p,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hair Loss,$199.00,https://dharmanutritionclinic.com/products/cedar-oral,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IA, LA, ME, MD, MA, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SD, TN, TX, UT, VT, VA, WA, WI, WY",ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zepbound,$199.00,https://dharmanutritionclinic.com/products/zepbound®-tirzepatide-access-with-dharma?_pos=1&_sid=8158e8fc3&_ss=r,"AZ, CA, CO, CT, DE, FL, GA, HI, IL, IN, IA, ME, MD, MA, MI, MN, MO, MT, NE, NV, NH, NJ, NM, NY, NC, ND, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VT, VA, WA, WI, WY",BMI25TO29_MED,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nutrition Consultation,$199.00,https://buy.stripe.com/dR67tw6mN25t2oo7uQ,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,(6% Fee) Slim Boost,$94.34,https://buy.stripe.com/28E00i5fp5p13AV7tT0JM2T,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Slim Boost,$89.00,https://buy.stripe.com/9B64gyazJ8BddbvbK90JM2S,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Anti-Nausea Consult / Ondansetron,$29.90,https://buy.stripe.com/7sYdR86jtbNp0oJeWl0JN2B,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ultra Cleanse Smoothie Greens,$42.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Brain & Focus Formula,$39.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,L-Glutamine Powder,$39.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Energy Strips,$36.50,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleep Strips,$36.50,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass-Fed Collagen Creamer (Vanilla),$35.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass-Fed Collagen Peptides Powder (Chocolate),$35.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grass-Fed Hydrolyzed Collagen Peptides,$35.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Greens Superfood,$35.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Colon Gentle Cleanse,$35.00,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mushroom Extract Complex,$34.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diet Drops Ultra 1 oz,$32.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Reds Superfood,$30.00,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bone & Heart Support,$29.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Hair, Skin and Nails Essentials",$25.99,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Complete Multivitamin,$25.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotic 40 Billion with Prebiotics,$25.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Digestive Enzyme Pro Blend,$24.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Max Detox (Acai detox),$24.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sleep Well Gummies (Adult),$24.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vitamin D3 2,000 IU",$24.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turmeric Gummies,$22.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Joint Support Gummies (Adult),$19.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maca Plus,$19.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Multivitamin Bear Gummies (Adult),$19.90,,ALL,ALL,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,Detox Tea,$15.99,,ALL,ALL,,
